date,month,symbol,asset_type,target_weight,current_weight,recommended_amount,status,pause_buy,manual_review,reasons,manual_pause_buy,manual_force_review,thesis_broken,final_priority_level,final_reason_codes,final_human_readable_action,logic_note
2019-05-06,2019-05,510500,etf,0.2,0.26368982720080036,0.0,YELLOW,True,True,相对参考高点回撤 17.37%，进入 YELLOW 区域,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2019-05-06,2019-05,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-05-06,2019-05,518880,etf,0.1,0.09290987989730554,0.0,YELLOW,True,True,相对参考高点回撤 3.62%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2019-05-06,2019-05,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-05-06,2019-05,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-05-06,2019-05,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-05-06,2019-05,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-05-06,2019-05,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-06-03,2019-06,510300,etf,0.3,0.33914276821829903,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-06-03,2019-06,510500,etf,0.2,0.21943953334566385,0.0,YELLOW,True,True,相对参考高点回撤 17.94%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2019-06-03,2019-06,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-06-03,2019-06,518880,etf,0.1,0.081228717694318,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-06-03,2019-06,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-06-03,2019-06,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-06-03,2019-06,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-06-03,2019-06,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-06-03,2019-06,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-07-01,2019-07,510300,etf,0.3,0.30663928175546507,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-07-01,2019-07,510500,etf,0.2,0.18955985634252365,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-07-01,2019-07,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-07-01,2019-07,518880,etf,0.1,0.17964478207562992,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-07-01,2019-07,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-07-01,2019-07,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-07-01,2019-07,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-07-01,2019-07,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-07-01,2019-07,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-08-01,2019-08,510300,etf,0.3,0.26663690197422063,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-08-01,2019-08,510500,etf,0.2,0.25144393324924313,0.0,YELLOW,True,True,相对参考高点回撤 17.26%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2019-08-01,2019-08,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-08-01,2019-08,518880,etf,0.1,0.16477962943158153,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-08-01,2019-08,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-08-01,2019-08,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-08-01,2019-08,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-08-01,2019-08,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-08-01,2019-08,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-09-02,2019-09,510300,etf,0.3,0.31832154318631395,5999.999999999999,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-09-02,2019-09,510500,etf,0.2,0.22457597868089516,0.0,YELLOW,True,True,相对参考高点回撤 14.81%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2019-09-02,2019-09,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-09-02,2019-09,518880,etf,0.1,0.16057366198409384,2000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-09-02,2019-09,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-09-02,2019-09,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-09-02,2019-09,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-09-02,2019-09,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-09-02,2019-09,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-10-08,2019-10,510300,etf,0.3,0.34409843571656984,5999.999999999999,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-10-08,2019-10,510500,etf,0.2,0.20232333444640507,0.0,YELLOW,True,True,相对参考高点回撤 15.99%，进入 YELLOW 区域,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2019-10-08,2019-10,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-10-08,2019-10,518880,etf,0.1,0.15840841386167206,2000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-10-08,2019-10,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-10-08,2019-10,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-10-08,2019-10,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-10-08,2019-10,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-10-08,2019-10,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-11-01,2019-11,510300,etf,0.3,0.37230052500415733,5999.999999999999,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-11-01,2019-11,510500,etf,0.2,0.18297504178493984,0.0,YELLOW,True,True,相对参考高点回撤 15.51%，进入 YELLOW 区域,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2019-11-01,2019-11,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-11-01,2019-11,518880,etf,0.1,0.1568511866909539,2000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-11-01,2019-11,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-11-01,2019-11,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-11-01,2019-11,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-11-01,2019-11,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-11-01,2019-11,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-12-02,2019-12,510300,etf,0.3,0.38336155648246817,5999.999999999999,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-12-02,2019-12,510500,etf,0.2,0.17033983034136418,0.0,YELLOW,True,True,相对参考高点回撤 16.50%，进入 YELLOW 区域,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2019-12-02,2019-12,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-12-02,2019-12,518880,etf,0.1,0.15580475291073514,2000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-12-02,2019-12,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-12-02,2019-12,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-12-02,2019-12,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-12-02,2019-12,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-12-02,2019-12,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-01-02,2020-01,510300,etf,0.3,0.41080003120815106,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-01-02,2020-01,510500,etf,0.2,0.16391826863974834,1222.6860978138907,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-01-02,2020-01,515180,etf,0.2,0.0,6777.313902186109,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-01-02,2020-01,518880,etf,0.1,0.15471517039614302,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-01-02,2020-01,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-01-02,2020-01,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-01-02,2020-01,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-01-02,2020-01,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-01-02,2020-01,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-02-03,2020-02,510300,etf,0.3,0.3559651835917444,5999.999999999999,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-02-03,2020-02,510500,etf,0.2,0.15621248616859454,0.0,YELLOW,True,True,相对参考高点回撤 15.97%，进入 YELLOW 区域,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2020-02-03,2020-02,515180,etf,0.2,0.039076795454325276,0.0,YELLOW,True,True,相对参考高点回撤 18.87%，进入 YELLOW 区域,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2020-02-03,2020-02,518880,etf,0.1,0.16168928674677419,2000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-02-03,2020-02,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-02-03,2020-02,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-02-03,2020-02,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-02-03,2020-02,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-02-03,2020-02,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-03-02,2020-03,510300,etf,0.3,0.38826626224565125,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-03-02,2020-03,510500,etf,0.2,0.15618271901630695,1718.3993217629848,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-03-02,2020-03,515180,etf,0.2,0.03982613443813276,6281.600678237015,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-03-02,2020-03,518880,etf,0.1,0.15170986622097216,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-03-02,2020-03,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-03-02,2020-03,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-03-02,2020-03,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-03-02,2020-03,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-03-02,2020-03,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-04-01,2020-04,510300,etf,0.3,0.34928482389959675,0.0,YELLOW,True,True,相对参考高点回撤 14.25%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2020-04-01,2020-04,510500,etf,0.2,0.1478761508136998,0.0,YELLOW,True,True,相对参考高点回撤 15.58%，进入 YELLOW 区域,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2020-04-01,2020-04,515180,etf,0.2,0.06832218389345927,0.0,YELLOW,True,True,相对参考高点回撤 17.46%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2020-04-01,2020-04,518880,etf,0.1,0.15315560357207814,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-04-01,2020-04,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-04-01,2020-04,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-04-01,2020-04,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-04-01,2020-04,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-04-01,2020-04,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-05-06,2020-05,510300,etf,0.3,0.336106459203641,0.0,YELLOW,True,True,相对参考高点回撤 7.65%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2020-05-06,2020-05,510500,etf,0.2,0.14413515237732913,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-05-06,2020-05,515180,etf,0.2,0.06531529278970817,0.0,YELLOW,True,True,相对参考高点回撤 11.69%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2020-05-06,2020-05,518880,etf,0.1,0.19070629262970784,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-05-06,2020-05,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-05-06,2020-05,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-05-06,2020-05,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-05-06,2020-05,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-05-06,2020-05,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-06-01,2020-06,510300,etf,0.3,0.31741293430464396,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-06-01,2020-06,510500,etf,0.2,0.17978733524644958,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-06-01,2020-06,515180,etf,0.2,0.061474325170960624,0.0,YELLOW,True,True,相对参考高点回撤 10.70%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,5,price_yellow,价格 YELLOW，暂停新增并人工复核,
2020-06-01,2020-06,518880,etf,0.1,0.18481701525070499,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-06-01,2020-06,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-06-01,2020-06,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-06-01,2020-06,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-06-01,2020-06,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-06-01,2020-06,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-07-01,2020-07,510300,etf,0.3,0.31418925058922753,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-07-01,2020-07,510500,etf,0.2,0.21173081473191,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-07-01,2020-07,515180,etf,0.2,0.05913492231334953,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-07-01,2020-07,518880,etf,0.1,0.17013167852723177,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-07-01,2020-07,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-07-01,2020-07,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-07-01,2020-07,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-07-01,2020-07,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-07-01,2020-07,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-08-03,2020-08,510300,etf,0.3,0.311710560545473,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-08-03,2020-08,510500,etf,0.2,0.2122702765242283,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-08-03,2020-08,515180,etf,0.2,0.09892382615889077,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
