date,symbol,asset_type,name,open,high,low,close,adj_close,volume,amount,pct_chg,chg,turnover_rate,amplitude,adjustment_mode,source_api
2019-01-02,600519,stock,贵州茅台,364.21,366.23,349.24,353.21,353.21,62286,3754387984.0,2.61,8.97,0.5,4.94,forward,stock.get_quote_history
2019-01-03,600519,stock,贵州茅台,354.2,355.89,340.03,344.23,344.23,30977,1838179168.0,-2.54,-8.98,0.25,4.49,forward,stock.get_quote_history
2019-01-04,600519,stock,贵州茅台,341.51,361.9,336.25,356.23,356.23,37683,2258501488.0,3.49,12.0,0.3,7.45,forward,stock.get_quote_history
2019-01-07,600519,stock,贵州茅台,362.23,366.23,356.45,359.72,359.72,34750,2105981456.0,0.98,3.49,0.28,2.75,forward,stock.get_quote_history
2019-01-08,600519,stock,贵州茅台,359.73,366.23,354.51,359.02,359.02,28838,1750413216.0,-0.19,-0.7,0.23,3.26,forward,stock.get_quote_history
2019-01-09,600519,stock,贵州茅台,364.22,380.39,363.27,370.35,370.35,49892,3084214784.0,3.16,11.33,0.4,4.77,forward,stock.get_quote_history
2019-01-10,600519,stock,贵州茅台,371.36,379.11,364.48,373.0,373.0,29044,1797683136.0,0.72,2.65,0.23,3.95,forward,stock.get_quote_history
2019-01-11,600519,stock,贵州茅台,379.23,391.23,372.98,390.11,390.11,38884,2445929488.0,4.59,17.11,0.31,4.89,forward,stock.get_quote_history
2019-01-14,600519,stock,贵州茅台,387.23,390.12,375.78,378.83,378.83,25649,1606308128.0,-2.89,-11.28,0.2,3.68,forward,stock.get_quote_history
2019-01-15,600519,stock,贵州茅台,382.09,415.73,379.23,414.21,414.21,55765,3613919072.0,9.34,35.38,0.44,9.63,forward,stock.get_quote_history
2019-01-16,600519,stock,贵州茅台,412.23,419.88,407.83,415.33,415.33,42084,2775103936.0,0.27,1.12,0.34,2.91,forward,stock.get_quote_history
2019-01-17,600519,stock,贵州茅台,417.23,423.93,410.03,413.48,413.48,30285,2004454112.0,-0.45,-1.85,0.24,3.35,forward,stock.get_quote_history
2019-01-18,600519,stock,贵州茅台,419.23,444.43,415.73,437.84,437.84,68609,4647515904.0,5.89,24.36,0.55,6.94,forward,stock.get_quote_history
2019-01-21,600519,stock,贵州茅台,444.23,453.11,436.11,441.21,441.21,47052,3242615728.0,0.77,3.37,0.37,3.88,forward,stock.get_quote_history
2019-01-22,600519,stock,贵州茅台,440.23,440.23,419.45,425.23,425.23,42122,2834735024.0,-3.62,-15.98,0.34,4.71,forward,stock.get_quote_history
2019-01-23,600519,stock,贵州茅台,421.45,428.73,417.36,419.89,419.89,33625,2247371216.0,-1.26,-5.34,0.27,2.67,forward,stock.get_quote_history
2019-01-24,600519,stock,贵州茅台,424.53,432.06,418.91,426.73,426.73,29155,1960227056.0,1.63,6.84,0.23,3.13,forward,stock.get_quote_history
2019-01-25,600519,stock,贵州茅台,430.11,439.13,424.16,433.93,433.93,28986,1966232096.0,1.69,7.2,0.23,3.51,forward,stock.get_quote_history
2019-01-28,600519,stock,贵州茅台,438.23,448.21,430.26,431.23,431.23,36103,2476277968.0,-0.62,-2.7,0.29,4.14,forward,stock.get_quote_history
2019-01-29,600519,stock,贵州茅台,431.73,442.23,422.23,439.23,439.23,30343,2069407520.0,1.86,8.0,0.24,4.64,forward,stock.get_quote_history
2019-01-30,600519,stock,贵州茅台,439.22,440.45,430.23,430.23,430.23,22700,1545353568.0,-2.05,-9.0,0.18,2.33,forward,stock.get_quote_history
2019-01-31,600519,stock,贵州茅台,434.23,443.83,431.79,443.83,443.83,36697,2515374976.0,3.16,13.6,0.29,2.8,forward,stock.get_quote_history
2019-02-01,600519,stock,贵州茅台,451.27,453.23,443.84,446.9,446.9,30521,2121326144.0,0.69,3.07,0.24,2.12,forward,stock.get_quote_history
2019-02-11,600519,stock,贵州茅台,449.23,483.73,442.41,479.53,479.53,58141,4143849808.0,7.3,32.63,0.46,9.25,forward,stock.get_quote_history
2019-02-12,600519,stock,贵州茅台,477.23,479.72,469.43,472.15,472.15,35091,2521840128.0,-1.54,-7.38,0.28,2.15,forward,stock.get_quote_history
2019-02-13,600519,stock,贵州茅台,477.23,490.39,471.45,489.48,489.48,35677,2589623536.0,3.67,17.33,0.28,4.01,forward,stock.get_quote_history
2019-02-14,600519,stock,贵州茅台,485.43,497.89,484.37,491.39,491.39,32258,2375987072.0,0.39,1.91,0.26,2.76,forward,stock.get_quote_history
2019-02-15,600519,stock,贵州茅台,489.11,489.11,477.25,479.01,479.01,23238,1691515520.0,-2.52,-12.38,0.18,2.41,forward,stock.get_quote_history
2019-02-18,600519,stock,贵州茅台,485.23,499.18,485.23,494.23,494.23,37746,2787522992.0,3.18,15.22,0.3,2.91,forward,stock.get_quote_history
2019-02-19,600519,stock,贵州茅台,495.19,496.73,480.89,484.99,484.99,29502,2164408784.0,-1.87,-9.24,0.23,3.2,forward,stock.get_quote_history
2019-02-20,600519,stock,贵州茅台,489.23,489.23,470.29,476.23,476.23,37882,2742919648.0,-1.81,-8.76,0.3,3.91,forward,stock.get_quote_history
2019-02-21,600519,stock,贵州茅台,474.23,484.71,471.23,474.48,474.48,29850,2163554336.0,-0.37,-1.75,0.24,2.83,forward,stock.get_quote_history
2019-02-22,600519,stock,贵州茅台,471.23,482.72,468.33,480.24,480.24,25909,1867253936.0,1.21,5.76,0.21,3.03,forward,stock.get_quote_history
2019-02-25,600519,stock,贵州茅台,484.98,498.67,472.22,496.56,496.56,82623,6034261248.0,3.4,16.32,0.66,5.51,forward,stock.get_quote_history
2019-02-26,600519,stock,贵州茅台,502.03,503.41,480.23,481.58,481.58,57965,4265279120.0,-3.02,-14.98,0.46,4.67,forward,stock.get_quote_history
2019-02-27,600519,stock,贵州茅台,487.23,512.25,485.23,494.93,494.93,65942,4908445184.0,2.77,13.35,0.52,5.61,forward,stock.get_quote_history
2019-02-28,600519,stock,贵州茅台,492.13,517.65,491.18,509.24,509.24,56986,4289145216.0,2.89,14.31,0.45,5.35,forward,stock.get_quote_history
2019-03-01,600519,stock,贵州茅台,515.73,544.23,515.23,543.53,543.53,63840,4952509184.0,6.73,34.29,0.51,5.69,forward,stock.get_quote_history
2019-03-04,600519,stock,贵州茅台,549.23,552.56,531.45,536.09,536.09,84586,6661386496.0,-1.37,-7.44,0.67,3.88,forward,stock.get_quote_history
2019-03-05,600519,stock,贵州茅台,539.23,543.78,530.11,534.01,534.01,44831,3501155936.0,-0.39,-2.08,0.36,2.55,forward,stock.get_quote_history
2019-03-06,600519,stock,贵州茅台,529.23,533.73,520.11,522.23,522.23,46731,3602140480.0,-2.21,-11.78,0.37,2.55,forward,stock.get_quote_history
2019-03-07,600519,stock,贵州茅台,516.45,516.45,499.79,502.83,502.83,60181,4526351872.0,-3.71,-19.4,0.48,3.19,forward,stock.get_quote_history
2019-03-08,600519,stock,贵州茅台,492.13,501.06,487.88,491.73,491.73,52275,3868415488.0,-2.21,-11.1,0.42,2.62,forward,stock.get_quote_history
2019-03-11,600519,stock,贵州茅台,494.27,521.18,494.27,512.77,512.77,53057,4001728736.0,4.28,21.04,0.42,5.47,forward,stock.get_quote_history
2019-03-12,600519,stock,贵州茅台,518.05,518.06,493.23,499.24,499.24,52510,3946382128.0,-2.64,-13.53,0.42,4.84,forward,stock.get_quote_history
2019-03-13,600519,stock,贵州茅台,499.73,514.98,499.73,508.23,508.23,40561,3058080912.0,1.8,8.99,0.32,3.05,forward,stock.get_quote_history
2019-03-14,600519,stock,贵州茅台,511.23,539.23,508.23,532.23,532.23,62173,4808607744.0,4.72,24.0,0.49,6.1,forward,stock.get_quote_history
2019-03-15,600519,stock,贵州茅台,530.23,541.73,519.08,531.53,531.53,52401,4084798336.0,-0.13,-0.7,0.42,4.26,forward,stock.get_quote_history
2019-03-18,600519,stock,贵州茅台,533.03,568.76,531.23,564.32,564.32,81319,6499567104.0,6.17,32.79,0.65,7.06,forward,stock.get_quote_history
2019-03-19,600519,stock,贵州茅台,557.23,562.15,546.53,546.84,546.84,40635,3244967392.0,-3.1,-17.48,0.32,2.77,forward,stock.get_quote_history
2019-03-20,600519,stock,贵州茅台,544.23,556.53,539.23,547.03,547.03,31118,2470811136.0,0.03,0.19,0.25,3.16,forward,stock.get_quote_history
2019-03-21,600519,stock,贵州茅台,542.23,547.03,535.73,539.98,539.98,32573,2558222912.0,-1.29,-7.05,0.26,2.07,forward,stock.get_quote_history
2019-03-22,600519,stock,贵州茅台,542.45,554.21,539.23,548.23,548.23,30518,2420497824.0,1.53,8.25,0.24,2.77,forward,stock.get_quote_history
2019-03-25,600519,stock,贵州茅台,540.23,542.23,527.53,529.83,529.83,37270,2903744160.0,-3.36,-18.4,0.3,2.68,forward,stock.get_quote_history
2019-03-26,600519,stock,贵州茅台,534.23,540.17,518.33,527.23,527.23,37596,2914112992.0,-0.49,-2.6,0.3,4.12,forward,stock.get_quote_history
2019-03-27,600519,stock,贵州茅台,535.23,548.11,529.23,542.73,542.73,42807,3366132240.0,2.94,15.5,0.34,3.58,forward,stock.get_quote_history
2019-03-28,600519,stock,贵州茅台,547.66,568.71,539.91,561.03,561.03,57567,4615969792.0,3.37,18.3,0.46,5.31,forward,stock.get_quote_history
2019-03-29,600519,stock,贵州茅台,589.23,620.91,584.4,608.22,608.22,90934,7702154752.0,8.41,47.19,0.72,6.51,forward,stock.get_quote_history
2019-04-01,600519,stock,贵州茅台,614.23,623.18,605.23,613.23,613.23,60935,5228521984.0,0.82,5.01,0.49,2.95,forward,stock.get_quote_history
2019-04-02,600519,stock,贵州茅台,614.22,614.22,590.29,604.23,604.23,53227,4496538880.0,-1.47,-9.0,0.42,3.9,forward,stock.get_quote_history
2019-04-03,600519,stock,贵州茅台,594.35,605.97,588.44,598.73,598.73,43057,3629854320.0,-0.91,-5.5,0.34,2.9,forward,stock.get_quote_history
2019-04-04,600519,stock,贵州茅台,594.23,620.03,590.43,619.23,619.23,55772,4763897856.0,3.42,20.5,0.44,4.94,forward,stock.get_quote_history
2019-04-08,600519,stock,贵州茅台,654.23,662.23,644.35,654.43,654.43,66252,5944780544.0,5.68,35.2,0.53,2.89,forward,stock.get_quote_history
2019-04-09,600519,stock,贵州茅台,657.23,662.43,646.74,659.23,659.23,47990,4308645632.0,0.73,4.8,0.38,2.4,forward,stock.get_quote_history
2019-04-10,600519,stock,贵州茅台,657.23,706.13,654.23,702.22,702.22,67814,6331858688.0,6.52,42.99,0.54,7.87,forward,stock.get_quote_history
2019-04-11,600519,stock,贵州茅台,702.23,704.23,659.78,679.43,679.43,61103,5643817472.0,-3.25,-22.79,0.49,6.33,forward,stock.get_quote_history
2019-04-12,600519,stock,贵州茅台,663.23,674.22,654.24,668.23,668.23,48612,4419350016.0,-1.65,-11.2,0.39,2.94,forward,stock.get_quote_history
