date,symbol,asset_type,name,open,high,low,close,adj_close,volume,amount,pct_chg,chg,turnover_rate,amplitude,adjustment_mode,source_api
2019-03-12,000858,stock,五 粮 液,49.6,50.87,48.49,49.02,49.02,345975,2617867824.0,-1.41,-0.7,0.91,4.79,forward,stock.get_quote_history
2019-03-13,000858,stock,五 粮 液,48.72,50.88,48.37,50.22,50.22,320983,2441832256.0,2.45,1.2,0.85,5.12,forward,stock.get_quote_history
2019-03-14,000858,stock,五 粮 液,50.62,52.71,49.44,50.87,50.87,438313,3412067632.0,1.29,0.65,1.15,6.51,forward,stock.get_quote_history
2019-03-15,000858,stock,五 粮 液,50.59,53.31,48.73,52.5,52.5,407667,3195204176.0,3.2,1.63,1.07,9.0,forward,stock.get_quote_history
2019-03-18,000858,stock,五 粮 液,52.4,60.38,52.22,60.38,60.38,785029,6597656064.0,15.01,7.88,2.07,15.54,forward,stock.get_quote_history
2019-03-19,000858,stock,五 粮 液,58.65,62.33,58.02,59.72,59.72,614713,5293626368.0,-1.09,-0.66,1.62,7.14,forward,stock.get_quote_history
2019-03-20,000858,stock,五 粮 液,58.72,61.9,58.12,59.42,59.42,404123,3473591312.0,-0.5,-0.3,1.06,6.33,forward,stock.get_quote_history
2019-03-21,000858,stock,五 粮 液,59.44,59.72,58.25,58.62,58.62,218635,1857556464.0,-1.35,-0.8,0.58,2.47,forward,stock.get_quote_history
2019-03-22,000858,stock,五 粮 液,58.27,60.34,57.73,59.77,59.77,287228,2459037968.0,1.96,1.15,0.76,4.45,forward,stock.get_quote_history
2019-03-25,000858,stock,五 粮 液,58.22,59.22,56.02,56.53,56.53,333485,2793616224.0,-5.42,-3.24,0.88,5.35,forward,stock.get_quote_history
2019-03-26,000858,stock,五 粮 液,56.92,59.39,56.89,58.19,58.19,323213,2724755664.0,2.94,1.66,0.85,4.42,forward,stock.get_quote_history
2019-03-27,000858,stock,五 粮 液,59.1,63.67,58.27,61.7,61.7,494443,4308324608.0,6.03,3.51,1.3,9.28,forward,stock.get_quote_history
2019-03-28,000858,stock,五 粮 液,63.52,65.61,61.73,64.02,64.02,607346,5493378560.0,3.76,2.32,1.6,6.29,forward,stock.get_quote_history
2019-03-29,000858,stock,五 粮 液,65.22,71.8,64.86,68.72,68.72,574996,5426052608.0,7.34,4.7,1.51,10.84,forward,stock.get_quote_history
2019-04-01,000858,stock,五 粮 液,68.72,71.18,67.72,70.29,70.29,548711,5244031744.0,2.28,1.57,1.45,5.03,forward,stock.get_quote_history
2019-04-02,000858,stock,五 粮 液,69.72,70.2,68.0,69.78,69.78,356990,3399871600.0,-0.73,-0.51,0.94,3.13,forward,stock.get_quote_history
2019-04-03,000858,stock,五 粮 液,68.33,70.73,68.33,69.12,69.12,247438,2369519376.0,-0.95,-0.66,0.65,3.44,forward,stock.get_quote_history
2019-04-04,000858,stock,五 粮 液,68.38,75.25,67.91,73.95,73.95,516298,5094805504.0,6.99,4.83,1.36,10.62,forward,stock.get_quote_history
2019-04-08,000858,stock,五 粮 液,78.37,79.11,73.73,75.72,75.72,535741,5478418944.0,2.39,1.77,1.41,7.28,forward,stock.get_quote_history
2019-04-09,000858,stock,五 粮 液,73.88,83.85,73.83,83.74,83.74,473137,4884426240.0,10.59,8.02,1.25,13.23,forward,stock.get_quote_history
2019-04-10,000858,stock,五 粮 液,79.72,83.75,76.72,80.72,80.72,673144,7185973760.0,-3.61,-3.02,1.77,8.4,forward,stock.get_quote_history
2019-04-11,000858,stock,五 粮 液,79.62,80.62,71.29,73.52,73.52,676208,6875381504.0,-8.92,-7.2,1.78,11.56,forward,stock.get_quote_history
2019-04-12,000858,stock,五 粮 液,71.62,74.02,70.72,73.34,73.34,410825,4052939504.0,-0.24,-0.18,1.08,4.49,forward,stock.get_quote_history
2019-04-15,000858,stock,五 粮 液,75.72,78.66,73.72,74.32,74.32,464503,4759979008.0,1.34,0.98,1.22,6.74,forward,stock.get_quote_history
2019-04-16,000858,stock,五 粮 液,72.32,75.95,70.78,75.93,75.93,474714,4751005696.0,2.17,1.61,1.25,6.96,forward,stock.get_quote_history
2019-04-17,000858,stock,五 粮 液,74.7,79.2,74.02,77.34,77.34,423137,4356259328.0,1.86,1.41,1.11,6.82,forward,stock.get_quote_history
2019-04-18,000858,stock,五 粮 液,77.04,78.22,75.52,76.06,76.06,278663,2862113040.0,-1.66,-1.28,0.73,3.49,forward,stock.get_quote_history
2019-04-19,000858,stock,五 粮 液,76.06,76.14,73.58,75.38,75.38,302351,3052000832.0,-0.89,-0.68,0.8,3.37,forward,stock.get_quote_history
2019-04-22,000858,stock,五 粮 液,74.72,77.62,74.22,74.85,74.85,350744,3571766320.0,-0.7,-0.53,0.92,4.51,forward,stock.get_quote_history
2019-04-23,000858,stock,五 粮 液,74.32,80.22,74.22,78.03,78.03,521794,5401052672.0,4.25,3.18,1.37,8.02,forward,stock.get_quote_history
2019-04-24,000858,stock,五 粮 液,78.72,80.22,74.72,77.22,77.22,362607,3738473488.0,-1.04,-0.81,0.96,7.05,forward,stock.get_quote_history
2019-04-25,000858,stock,五 粮 液,76.52,77.72,74.32,74.32,74.32,324523,3310704576.0,-3.76,-2.9,0.85,4.4,forward,stock.get_quote_history
2019-04-26,000858,stock,五 粮 液,73.62,77.22,73.62,75.99,75.99,410707,4170490848.0,2.25,1.67,1.08,4.84,forward,stock.get_quote_history
2019-04-29,000858,stock,五 粮 液,74.72,78.83,72.52,76.01,76.01,578443,5918159104.0,0.03,0.02,1.52,8.3,forward,stock.get_quote_history
2019-04-30,000858,stock,五 粮 液,75.72,78.22,74.72,76.08,76.08,299197,3066006976.0,0.09,0.07,0.79,4.6,forward,stock.get_quote_history
2019-05-06,000858,stock,五 粮 液,72.06,72.35,65.84,65.84,65.84,716993,6811943424.0,-13.46,-10.24,1.89,8.56,forward,stock.get_quote_history
2019-05-07,000858,stock,五 粮 液,67.02,70.69,67.02,69.68,69.68,517243,4939402496.0,5.83,3.84,1.36,5.57,forward,stock.get_quote_history
2019-05-08,000858,stock,五 粮 液,66.89,71.38,66.74,69.6,69.6,333316,3192877616.0,-0.11,-0.08,0.88,6.66,forward,stock.get_quote_history
2019-05-09,000858,stock,五 粮 液,68.62,69.6,63.74,65.53,65.53,525058,4852605184.0,-5.85,-4.07,1.38,8.42,forward,stock.get_quote_history
2019-05-10,000858,stock,五 粮 液,68.31,73.2,67.33,72.92,72.92,597127,5777245696.0,11.28,7.39,1.57,8.96,forward,stock.get_quote_history
2019-05-13,000858,stock,五 粮 液,72.72,78.02,70.72,77.32,77.32,521618,5335656448.0,6.03,4.4,1.37,10.01,forward,stock.get_quote_history
2019-05-14,000858,stock,五 粮 液,74.72,78.71,74.72,76.2,76.2,431034,4441800192.0,-1.45,-1.12,1.14,5.16,forward,stock.get_quote_history
2019-05-15,000858,stock,五 粮 液,77.92,84.22,76.88,83.62,83.62,647521,6923929600.0,9.74,7.42,1.71,9.63,forward,stock.get_quote_history
2019-05-16,000858,stock,五 粮 液,82.48,85.71,81.52,83.7,83.7,426503,4675545600.0,0.1,0.08,1.12,5.01,forward,stock.get_quote_history
2019-05-17,000858,stock,五 粮 液,82.74,84.7,78.71,80.18,80.18,501195,5378725888.0,-4.21,-3.52,1.32,7.16,forward,stock.get_quote_history
2019-05-20,000858,stock,五 粮 液,79.52,79.65,75.32,77.72,77.72,398480,4127376688.0,-3.07,-2.46,1.05,5.4,forward,stock.get_quote_history
2019-05-21,000858,stock,五 粮 液,77.73,79.9,75.62,77.92,77.92,418030,4339949568.0,0.26,0.2,1.1,5.51,forward,stock.get_quote_history
2019-05-22,000858,stock,五 粮 液,77.02,78.85,74.72,77.03,77.03,281542,2903441872.0,-1.14,-0.89,0.74,5.3,forward,stock.get_quote_history
2019-05-23,000858,stock,五 粮 液,75.94,76.72,73.05,73.55,73.55,428035,4314285824.0,-4.52,-3.48,1.13,4.76,forward,stock.get_quote_history
2019-05-24,000858,stock,五 粮 液,73.83,76.6,73.52,74.74,74.74,324838,3284967744.0,1.62,1.19,0.86,4.19,forward,stock.get_quote_history
2019-05-27,000858,stock,五 粮 液,75.22,76.37,72.22,75.72,75.72,351185,3534292352.0,1.31,0.98,0.93,5.55,forward,stock.get_quote_history
2019-05-28,000858,stock,五 粮 液,75.32,77.92,75.02,76.82,76.82,427841,4399951104.0,1.45,1.1,1.13,3.83,forward,stock.get_quote_history
2019-05-29,000858,stock,五 粮 液,75.7,78.94,75.32,78.27,78.27,431698,4487115520.0,1.89,1.45,1.14,4.71,forward,stock.get_quote_history
2019-05-30,000858,stock,五 粮 液,77.52,78.92,75.71,76.85,76.85,249276,2571306208.0,-1.81,-1.42,0.66,4.1,forward,stock.get_quote_history
2019-05-31,000858,stock,五 粮 液,77.12,77.12,74.75,74.97,74.97,288484,2938475712.0,-2.45,-1.88,0.76,3.08,forward,stock.get_quote_history
2019-06-03,000858,stock,五 粮 液,75.02,77.27,73.78,75.18,75.18,261336,2653955616.0,0.28,0.21,0.69,4.66,forward,stock.get_quote_history
2019-06-04,000858,stock,五 粮 液,76.1,76.22,72.35,72.91,72.91,320981,3192822288.0,-3.02,-2.27,0.85,5.15,forward,stock.get_quote_history
2019-06-05,000858,stock,五 粮 液,74.27,74.33,72.6,72.77,72.77,235420,2346988272.0,-0.19,-0.14,0.62,2.37,forward,stock.get_quote_history
2019-06-06,000858,stock,五 粮 液,73.4,74.19,72.08,72.71,72.71,217204,2118748144.0,-0.08,-0.06,0.57,2.9,forward,stock.get_quote_history
2019-06-10,000858,stock,五 粮 液,72.72,76.55,71.42,75.86,75.86,345857,3428090384.0,4.33,3.15,0.91,7.06,forward,stock.get_quote_history
2019-06-11,000858,stock,五 粮 液,76.58,84.94,76.1,84.37,84.37,641527,6792227840.0,11.22,8.51,1.69,11.65,forward,stock.get_quote_history
2019-06-12,000858,stock,五 粮 液,84.53,85.22,81.83,83.03,83.03,384593,4155736704.0,-1.59,-1.34,1.01,4.02,forward,stock.get_quote_history
2019-06-13,000858,stock,五 粮 液,83.44,83.57,80.57,82.22,82.22,274693,2924978256.0,-0.98,-0.81,0.72,3.61,forward,stock.get_quote_history
2019-06-14,000858,stock,五 粮 液,82.2,84.12,80.11,80.38,80.38,348243,3709509520.0,-2.24,-1.84,0.92,4.88,forward,stock.get_quote_history
2019-06-17,000858,stock,五 粮 液,80.38,81.66,77.53,79.12,79.12,300609,3129573472.0,-1.57,-1.26,0.79,5.14,forward,stock.get_quote_history
2019-06-18,000858,stock,五 粮 液,78.88,80.55,77.62,79.5,79.5,232709,2416587888.0,0.48,0.38,0.61,3.7,forward,stock.get_quote_history
2019-06-19,000858,stock,五 粮 液,83.2,83.62,81.28,81.32,81.32,378260,4049045248.0,2.29,1.82,1.0,2.94,forward,stock.get_quote_history
2019-06-20,000858,stock,五 粮 液,80.88,88.52,80.75,88.39,88.39,631133,6984596736.0,8.69,7.07,1.66,9.55,forward,stock.get_quote_history
2019-06-21,000858,stock,五 粮 液,87.48,89.3,86.62,88.4,88.4,428986,4826930176.0,0.01,0.01,1.13,3.03,forward,stock.get_quote_history
2019-06-24,000858,stock,五 粮 液,88.4,92.82,87.43,90.48,90.48,428014,4920809728.0,2.35,2.08,1.13,6.1,forward,stock.get_quote_history
2019-06-25,000858,stock,五 粮 液,90.48,91.99,87.42,90.32,90.32,387597,4414668544.0,-0.18,-0.16,1.02,5.05,forward,stock.get_quote_history
2019-06-26,000858,stock,五 粮 液,89.66,90.26,88.61,89.24,89.24,203149,2313679184.0,-1.2,-1.08,0.54,1.83,forward,stock.get_quote_history
2019-06-27,000858,stock,五 粮 液,89.93,93.89,89.93,92.72,92.72,446929,5219625984.0,3.9,3.48,1.18,4.44,forward,stock.get_quote_history
2019-06-28,000858,stock,五 粮 液,93.0,93.76,91.3,93.37,93.37,270361,3173238384.0,0.7,0.65,0.71,2.65,forward,stock.get_quote_history
2019-07-01,000858,stock,五 粮 液,96.6,101.42,96.47,101.42,101.42,479809,5957481728.0,8.62,8.05,1.26,5.3,forward,stock.get_quote_history
2019-07-02,000858,stock,五 粮 液,100.13,103.42,100.03,103.42,103.42,382939,4819052288.0,1.97,2.0,1.01,3.34,forward,stock.get_quote_history
2019-07-03,000858,stock,五 粮 液,102.42,105.71,97.56,99.33,99.33,714434,9012422912.0,-3.95,-4.09,1.88,7.88,forward,stock.get_quote_history
2019-07-04,000858,stock,五 粮 液,99.31,100.28,95.7,98.51,98.51,483135,5912603648.0,-0.83,-0.82,1.27,4.61,forward,stock.get_quote_history
2019-07-05,000858,stock,五 粮 液,98.92,105.6,98.42,105.23,105.23,562843,7145349888.0,6.82,6.72,1.48,7.29,forward,stock.get_quote_history
2019-07-08,000858,stock,五 粮 液,105.2,105.22,99.92,102.45,102.45,466162,5915433728.0,-2.64,-2.78,1.23,5.04,forward,stock.get_quote_history
2019-07-09,000858,stock,五 粮 液,102.14,104.22,99.92,101.42,101.42,367636,4648786944.0,-1.01,-1.03,0.97,4.2,forward,stock.get_quote_history
2019-07-10,000858,stock,五 粮 液,102.3,102.86,100.82,101.85,101.85,246400,3115224800.0,0.42,0.43,0.65,2.01,forward,stock.get_quote_history
2019-07-11,000858,stock,五 粮 液,102.87,103.34,98.25,98.92,98.92,421004,5284580608.0,-2.88,-2.93,1.11,5.0,forward,stock.get_quote_history
2019-07-12,000858,stock,五 粮 液,99.15,101.95,98.32,101.0,101.0,334533,4185378160.0,2.1,2.08,0.88,3.67,forward,stock.get_quote_history
2019-07-15,000858,stock,五 粮 液,99.44,100.88,96.92,100.51,100.51,294387,3649762384.0,-0.49,-0.49,0.78,3.92,forward,stock.get_quote_history
2019-07-16,000858,stock,五 粮 液,100.52,101.42,98.61,99.0,99.0,229800,2852294240.0,-1.5,-1.51,0.61,2.8,forward,stock.get_quote_history
2019-07-17,000858,stock,五 粮 液,98.92,100.16,97.92,99.02,99.02,198449,2452457680.0,0.02,0.02,0.52,2.26,forward,stock.get_quote_history
2019-07-18,000858,stock,五 粮 液,98.93,99.67,96.42,96.42,96.42,279618,3420457856.0,-2.63,-2.6,0.74,3.28,forward,stock.get_quote_history
2019-07-19,000858,stock,五 粮 液,97.42,99.3,96.52,97.56,97.56,238433,2923077632.0,1.18,1.14,0.63,2.88,forward,stock.get_quote_history
2019-07-22,000858,stock,五 粮 液,97.72,99.2,96.75,98.87,98.87,229290,2814700736.0,1.34,1.31,0.6,2.51,forward,stock.get_quote_history
2019-07-23,000858,stock,五 粮 液,99.12,99.2,94.1,95.47,95.47,426761,5141805056.0,-3.44,-3.4,1.12,5.16,forward,stock.get_quote_history
2019-07-24,000858,stock,五 粮 液,95.64,96.55,94.42,94.92,94.92,282786,3392025184.0,-0.58,-0.55,0.75,2.23,forward,stock.get_quote_history
2019-07-25,000858,stock,五 粮 液,94.72,97.19,91.62,97.1,97.1,439753,5225971456.0,2.3,2.18,1.16,5.87,forward,stock.get_quote_history
2019-07-26,000858,stock,五 粮 液,96.23,97.92,95.92,96.67,96.67,235231,2859765040.0,-0.44,-0.43,0.62,2.06,forward,stock.get_quote_history
2019-07-29,000858,stock,五 粮 液,96.92,99.6,96.35,99.17,99.17,356041,4382731008.0,2.59,2.5,0.94,3.36,forward,stock.get_quote_history
2019-07-30,000858,stock,五 粮 液,99.52,100.1,97.92,98.32,98.32,238945,2948652608.0,-0.86,-0.85,0.63,2.2,forward,stock.get_quote_history
2019-07-31,000858,stock,五 粮 液,97.62,98.52,95.7,96.13,96.13,242683,2940184912.0,-2.23,-2.19,0.64,2.87,forward,stock.get_quote_history
2019-08-01,000858,stock,五 粮 液,95.45,96.74,93.55,94.45,94.45,260736,3109917792.0,-1.75,-1.68,0.69,3.32,forward,stock.get_quote_history
2019-08-02,000858,stock,五 粮 液,91.73,94.07,91.44,93.54,93.54,270011,3167999088.0,-0.96,-0.91,0.71,2.78,forward,stock.get_quote_history
2019-08-05,000858,stock,五 粮 液,91.95,94.81,91.64,92.37,92.37,269946,3169877904.0,-1.25,-1.17,0.71,3.39,forward,stock.get_quote_history
2019-08-06,000858,stock,五 粮 液,92.22,97.22,89.72,96.7,96.7,533102,6331332864.0,4.69,4.33,1.4,8.12,forward,stock.get_quote_history
2019-08-07,000858,stock,五 粮 液,97.22,97.27,94.28,94.3,94.3,256858,3082279504.0,-2.48,-2.4,0.68,3.09,forward,stock.get_quote_history
2019-08-08,000858,stock,五 粮 液,94.91,97.03,94.68,95.94,95.94,252180,3043542048.0,1.74,1.64,0.66,2.49,forward,stock.get_quote_history
2019-08-09,000858,stock,五 粮 液,96.92,97.4,92.92,93.44,93.44,278185,3321550416.0,-2.61,-2.5,0.73,4.67,forward,stock.get_quote_history
2019-08-12,000858,stock,五 粮 液,96.41,98.62,94.43,98.26,98.26,395370,4797396736.0,5.16,4.82,1.04,4.48,forward,stock.get_quote_history
2019-08-13,000858,stock,五 粮 液,97.42,98.42,96.8,97.72,97.72,191874,2342683344.0,-0.55,-0.54,0.51,1.65,forward,stock.get_quote_history
2019-08-14,000858,stock,五 粮 液,99.62,102.42,98.93,101.27,101.27,416269,5232740608.0,3.63,3.55,1.1,3.57,forward,stock.get_quote_history
2019-08-15,000858,stock,五 粮 液,99.32,101.86,98.93,101.4,101.4,246999,3086946672.0,0.13,0.13,0.65,2.89,forward,stock.get_quote_history
2019-08-16,000858,stock,五 粮 液,101.92,104.42,100.82,101.72,101.72,312170,3974054176.0,0.32,0.32,0.82,3.55,forward,stock.get_quote_history
2019-08-19,000858,stock,五 粮 液,102.72,104.23,101.15,103.32,103.32,312747,3982435344.0,1.57,1.6,0.82,3.03,forward,stock.get_quote_history
