date,symbol,asset_type,name,open,high,low,close,adj_close,volume,amount,pct_chg,chg,turnover_rate,amplitude,adjustment_mode,source_api
2019-01-02,000333,stock,美的集团,21.55,21.73,20.65,20.79,20.79,208624,764857120.0,-1.98,-0.42,0.32,5.09,forward,stock.get_quote_history
2019-01-03,000333,stock,美的集团,20.61,21.18,20.35,20.55,20.55,143233,520938080.0,-1.15,-0.24,0.22,3.99,forward,stock.get_quote_history
2019-01-04,000333,stock,美的集团,20.34,21.42,20.15,21.34,21.34,277118,1012555408.0,3.84,0.79,0.43,6.18,forward,stock.get_quote_history
2019-01-07,000333,stock,美的集团,22.01,22.01,21.01,21.34,21.34,252997,937395168.0,0.0,0.0,0.39,4.69,forward,stock.get_quote_history
2019-01-08,000333,stock,美的集团,21.4,21.55,21.03,21.21,21.21,134698,496396720.0,-0.61,-0.13,0.21,2.44,forward,stock.get_quote_history
2019-01-09,000333,stock,美的集团,22.6,23.85,22.17,23.35,23.35,825859,3201852576.0,10.09,2.14,1.27,7.92,forward,stock.get_quote_history
2019-01-10,000333,stock,美的集团,23.21,24.13,22.95,23.64,23.64,355956,1398943856.0,1.24,0.29,0.55,5.05,forward,stock.get_quote_history
2019-01-11,000333,stock,美的集团,23.85,24.3,23.2,24.19,24.19,278139,1098274240.0,2.33,0.55,0.43,4.65,forward,stock.get_quote_history
2019-01-14,000333,stock,美的集团,24.26,24.71,23.67,23.8,23.8,187161,743527536.0,-1.61,-0.39,0.29,4.3,forward,stock.get_quote_history
2019-01-15,000333,stock,美的集团,23.85,25.37,23.68,25.35,25.35,402190,1629499424.0,6.51,1.55,0.63,7.1,forward,stock.get_quote_history
2019-01-16,000333,stock,美的集团,25.35,25.81,24.97,25.55,25.55,286234,1177411056.0,0.79,0.2,0.45,3.31,forward,stock.get_quote_history
2019-01-17,000333,stock,美的集团,25.55,26.05,25.23,25.26,25.26,259740,1073148528.0,-1.14,-0.29,0.4,3.21,forward,stock.get_quote_history
2019-01-18,000333,stock,美的集团,25.8,26.45,25.39,26.43,26.43,384428,1603555664.0,4.63,1.17,0.6,4.2,forward,stock.get_quote_history
