date,symbol,asset_type,name,open,high,low,close,adj_close,volume,amount,pct_chg,chg,turnover_rate,amplitude,adjustment_mode,source_api
2019-01-02,601318,stock,中国平安,40.0,40.14,38.9,39.14,39.14,825542,4573024768.0,-2.3,-0.92,0.76,3.1,forward,stock.get_quote_history
2019-01-03,601318,stock,中国平安,39.11,40.29,39.02,39.64,39.64,692711,3864646448.0,1.28,0.5,0.64,3.24,forward,stock.get_quote_history
2019-01-04,601318,stock,中国平安,39.24,40.96,39.19,40.55,40.55,1129856,6376773632.0,2.3,0.91,1.04,4.47,forward,stock.get_quote_history
2019-01-07,601318,stock,中国平安,41.05,41.13,39.86,40.26,40.26,765930,4326151680.0,-0.72,-0.29,0.71,3.13,forward,stock.get_quote_history
2019-01-08,601318,stock,中国平安,40.01,40.05,39.16,39.76,39.76,559921,3116381584.0,-1.24,-0.5,0.52,2.21,forward,stock.get_quote_history
2019-01-09,601318,stock,中国平安,40.16,41.56,39.92,40.91,40.91,819146,4673997824.0,2.89,1.15,0.76,4.12,forward,stock.get_quote_history
2019-01-10,601318,stock,中国平安,40.83,41.78,40.51,41.46,41.46,673282,3858446848.0,1.34,0.55,0.62,3.1,forward,stock.get_quote_history
2019-01-11,601318,stock,中国平安,41.96,42.25,41.46,42.03,42.03,457570,2650921536.0,1.37,0.57,0.42,1.91,forward,stock.get_quote_history
2019-01-14,601318,stock,中国平安,41.7,41.91,40.86,41.08,41.08,475327,2723611888.0,-2.26,-0.95,0.44,2.5,forward,stock.get_quote_history
2019-01-15,601318,stock,中国平安,41.22,42.65,41.02,42.55,42.55,586265,3413728304.0,3.58,1.47,0.54,3.97,forward,stock.get_quote_history
2019-01-16,601318,stock,中国平安,42.38,42.92,41.97,42.7,42.7,404112,2368178496.0,0.35,0.15,0.37,2.23,forward,stock.get_quote_history
2019-01-17,601318,stock,中国平安,43.01,43.76,42.52,42.69,42.69,535050,3168128864.0,-0.02,-0.01,0.49,2.9,forward,stock.get_quote_history
2019-01-18,601318,stock,中国平安,43.19,43.98,42.65,43.88,43.88,561757,3350801456.0,2.79,1.19,0.52,3.12,forward,stock.get_quote_history
2019-01-21,601318,stock,中国平安,43.89,45.07,43.81,44.75,44.75,559843,3395168928.0,1.98,0.87,0.52,2.87,forward,stock.get_quote_history
2019-01-22,601318,stock,中国平安,44.56,44.6,43.7,44.03,44.03,419508,2524729520.0,-1.61,-0.72,0.39,2.01,forward,stock.get_quote_history
2019-01-23,601318,stock,中国平安,43.78,44.36,43.41,43.45,43.45,374933,2243882416.0,-1.32,-0.58,0.35,2.16,forward,stock.get_quote_history
2019-01-24,601318,stock,中国平安,43.57,44.48,43.18,44.39,44.39,449406,2694967120.0,2.16,0.94,0.41,2.99,forward,stock.get_quote_history
2019-01-25,601318,stock,中国平安,44.46,45.74,44.39,45.25,45.25,672459,4129885328.0,1.94,0.86,0.62,3.04,forward,stock.get_quote_history
2019-01-28,601318,stock,中国平安,45.76,46.37,45.16,45.48,45.48,581649,3603129776.0,0.51,0.23,0.54,2.67,forward,stock.get_quote_history
2019-01-29,601318,stock,中国平安,45.34,45.86,44.94,45.61,45.61,395193,2428493648.0,0.29,0.13,0.36,2.02,forward,stock.get_quote_history
2019-01-30,601318,stock,中国平安,44.84,45.82,44.74,45.21,45.21,310003,1904411136.0,-0.88,-0.4,0.29,2.37,forward,stock.get_quote_history
2019-01-31,601318,stock,中国平安,45.76,47.15,45.51,46.94,46.94,692265,4336690688.0,3.83,1.73,0.64,3.63,forward,stock.get_quote_history
2019-02-01,601318,stock,中国平安,47.46,47.74,46.81,47.17,47.17,437925,2771784000.0,0.49,0.23,0.4,1.98,forward,stock.get_quote_history
2019-02-11,601318,stock,中国平安,46.84,48.47,46.84,48.35,48.35,541816,3456061472.0,2.5,1.18,0.5,3.46,forward,stock.get_quote_history
2019-02-12,601318,stock,中国平安,48.36,48.38,47.65,48.23,48.23,385193,2468628208.0,-0.25,-0.12,0.36,1.51,forward,stock.get_quote_history
2019-02-13,601318,stock,中国平安,48.62,49.36,47.99,48.98,48.98,578658,3743367744.0,1.56,0.75,0.53,2.84,forward,stock.get_quote_history
2019-02-14,601318,stock,中国平安,48.84,49.36,48.74,49.06,49.06,396203,2577578448.0,0.16,0.08,0.37,1.27,forward,stock.get_quote_history
2019-02-15,601318,stock,中国平安,48.76,48.97,47.18,47.21,47.21,534011,3418044688.0,-3.77,-1.85,0.49,3.65,forward,stock.get_quote_history
2019-02-18,601318,stock,中国平安,47.86,49.38,47.74,49.25,49.25,721361,4677674752.0,4.32,2.04,0.67,3.47,forward,stock.get_quote_history
2019-02-19,601318,stock,中国平安,49.54,51.23,49.24,49.64,49.64,785951,5198252032.0,0.79,0.39,0.73,4.04,forward,stock.get_quote_history
2019-02-20,601318,stock,中国平安,50.26,50.34,49.15,49.84,49.84,393509,2592496352.0,0.4,0.2,0.36,2.4,forward,stock.get_quote_history
2019-02-21,601318,stock,中国平安,49.76,50.64,49.05,49.35,49.35,543694,3588406880.0,-0.98,-0.49,0.5,3.19,forward,stock.get_quote_history
